what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1308108679708
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1308108679733
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1308108679782
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1308108679990
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1308108679999
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1308108680056
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1308108680161
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1308108680313
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1308108680413
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1308108680479
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1308108680581
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1308108680677
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1308108680954
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1308108681029
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1308108681096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108683738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108691990
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108692012
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108692888
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108693607
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108696622
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108697337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108776419
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108776443
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1308108779044
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108781738
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1308108790822
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108795164
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108800203
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108801744
closed,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108801777
opened,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108826894
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108827030
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1308108840297
activated,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108842247
activated,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108867226
closed,editor,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram.part.PNMLCoreModelDiagramEditorID",1308108867284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108868831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108870088
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108870317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108870837
activated,editor,net.sourceforge.texlipse,1.4.1,"net.sourceforge.texlipse.TexEditor",1308108871180
closed,editor,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.pnmlcoremodel.presentation.PnmlcoremodelEditorPNML",1308108871180
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1308108884549
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1308108884588
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1308108884881
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1308108884918
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1308108885029
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1308108885092
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1308108885093
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1308108886971
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1308108887199
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1308108887200
opened,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308108887555
activated,perspective,net.sourceforge.texlipse,1.4.1,"net.sourceforge.texlipse.TexlipsePerspective",1308108887845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108904967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308108925560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308109148136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308111374336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308111377163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308138564234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308138566589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308138567741
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1308138569043
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308138572297
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308138575711
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1308138575711
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1308138575711
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1308138575711
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1308138575711
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1308138575711
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1308138575711
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1308138575711
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1308138575711
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1308138575711
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1308138575711
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1308138575711
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1308138575711
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1308138575711
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1308138575711
stopped,bundle,org.eclipse.rap.ui.launch,1.3.2.20110216-1041,"org.eclipse.rap.ui.launch",1308138575711
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1308138576011
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308138576011
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1308138576011
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1308138576011
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308138576031
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308138576031
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308138576031
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1308138576031
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1308138576031
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308138576031
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1308138576031
stopped,bundle,gov.sandia.jess.debug,7.1.0,"gov.sandia.jess.debug",1308138576031
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1308138576031
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1308138576031
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1308138576031
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1308138576031
