what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1315865452350
started,bundle,net.sourceforge.texlipse,1.4.2,"net.sourceforge.texlipse",1315865452350
os,sysinfo,,,"win32",1315865452357
arch,sysinfo,,,"x86",1315865452357
ws,sysinfo,,,"win32",1315865452357
locale,sysinfo,,,"no_NO",1315865452357
processors,sysinfo,,,"2",1315865452357
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315865452357
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1315865452357
java.specification.name,sysinfo,,,"Java Platform API Specification",1315865452357
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315865452357
java.specification.version,sysinfo,,,"1.6",1315865452357
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315865452357
java.version,sysinfo,,,"1.6.0_26",1315865452357
java.vm.info,sysinfo,,,"mixed mode, sharing",1315865452357
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1315865452357
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315865452357
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315865452357
java.vm.specification.version,sysinfo,,,"1.0",1315865452357
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315865452357
java.vm.version,sysinfo,,,"20.1-b02",1315865452357
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1315865454686
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1315865455434
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1315865455446
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1315865455498
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1315865455505
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1315865456245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315865457818
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315865464415
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1315865464434
opened,view,net.sourceforge.texlipse,1.4.2,"net.sourceforge.texlipse.FullOutline",1315865470915
activated,view,net.sourceforge.texlipse,1.4.2,"net.sourceforge.texlipse.FullOutline",1315865470943
